Results for:,COPPER,Extension mm,Force N,eng_Stress,eng_Strain,True_stress,True_strain,log sigma,log strain
Curves for Specimen No:,1,,,,,,,,
Curve No:,1,0,0,0,0,0,0,,
,,0.976,4957.5,279.7237323,0.03904,290.6441468,0.03829721,,
,,0.98,4950,279.3005496,0.0392,290.2491312,0.038451186,,
,,0.984,4950,279.3005496,0.03936,290.2938192,0.038605139,,
,,0.988,4950,279.3005496,0.03952,290.3385073,0.038759068,,
,,0.992,4950,279.3005496,0.03968,290.3831954,0.038912973,,
,,0.996,4950,279.3005496,0.03984,290.4278835,0.039066855,,
,,1,4942.5,278.877367,0.04,290.0324616,0.039220713,,
,,1.004,4935,278.4541843,0.04016,289.6369043,0.039374547,,
,,1.008,4935,278.4541843,0.04032,289.681457,0.039528358,,
,,1.012,4935,278.4541843,0.04048,289.7260097,0.039682145,,
,,1.016,4927.5,278.0310017,0.04064,289.3301816,0.039835908,,
,,1.02,4927.5,278.0310017,0.0408,289.3746665,0.039989648,,
,,1.024,4927.5,278.0310017,0.04096,289.4191515,0.040143364,,
,,1.028,4920,277.607819,0.04112,289.0230525,0.040297057,,
,,1.032,4920,277.607819,0.04128,289.0674698,0.040450726,,
,,1.036,4920,277.607819,0.04144,289.111887,0.040604371,,
,,1.04,4912.5,277.1846364,0.0416,288.7155172,0.040757992,,
,,1.044,4905,276.7614537,0.04176,288.319012,0.040911591,,
,,1.048,4905,276.7614537,0.04192,288.3632938,0.041065165,,
,,1.052,4905,276.7614537,0.04208,288.4075757,0.041218716,,
,,1.056,4897.5,276.3382711,0.04224,288.0107996,0.041372243,,
,,1.06,4897.5,276.3382711,0.0424,288.0550137,0.041525747,,
,,1.064,4897.5,276.3382711,0.04256,288.0992279,0.041679227,,
,,1.068,4897.5,276.3382711,0.04272,288.143442,0.041832684,,
,,1.072,4897.5,276.3382711,0.04288,288.1876561,0.041986117,,
,,1.076,4890,275.9150884,0.04304,287.7904738,0.042139526,,
,,1.08,4882.5,275.4919058,0.0432,287.3931561,0.042292912,,
,,1.084,4875,275.0687231,0.04336,286.9957029,0.042446275,,
,,1.088,4875,275.0687231,0.04352,287.0397139,0.042599614,,
,,1.092,4875,275.0687231,0.04368,287.0837249,0.042752929,,
,,1.096,4875,275.0687231,0.04384,287.1277359,0.042906221,,
,,1.1,4875,275.0687231,0.044,287.1717469,0.043059489,,
,,1.104,4875,275.0687231,0.04416,287.2157579,0.043212734,,
,,1.108,4867.5,274.6455404,0.04432,286.8178308,0.043365956,,
,,1.112,4867.5,274.6455404,0.04448,286.8617741,0.043519154,,
